Subclass/&BarbarianSubclassPrimalPathTitle	Primal Path
Feature/&BarbarianClassBrutalCriticalDescription	You can roll one additional weapon damage die when determining the extra damage for a critical hit with a melee attack.\nThis increases to two additional dice at 13th level and three additional dice at 17th level.
Stage/&SubclassSelectionStagePrimalPathHeader	Barbarian Primal Path
Stage/&SubclassSelectionStagePrimalPathTitle	Barbarian Primal Path
Stage/&SubclassSelectionStagePrimalPathFeatures	Primal Path Features
Subclass/&BarbarianSubclassPrimalPathOfFrozenFuryTitle	Frozen Fury
Subclass/&BarbarianSubclassPrimalPathOfFrozenFuryDescription	Barbarians that wander the frozen north are said to have ice in their veins. Their rage does not burn within them so much as blind them to every emotion except bloodlust�their only care is for violence. They shut out pain, fear, and winter's chill alike to finish a battle.
Feature/&BarbarianSubclassFrozenFuryWintersFuryTitle	Winter's Fury
Feature/&BarbarianSubclassFrozenFuryWintersFuryDescription	Once you choose this path at 3rd level, the very air around you freezes when you enter a rage. All creatures within 5 feet of you at the end of your turn take 1d6 points of cold damage. This damage increases to 1d10 at 6th level, 2d6 at 10th level, and 2d10 at 14th level. You are immune to this damage.
Feature/&BarbarianSubclassFrozenFuryFrigidBodyTitle	Frigid Body
Feature/&BarbarianSubclassFrozenFuryFrigidBodyDescription	Frigid winds buffet the space around you when you enter a rage, knocking away missiles targeting you. Your Armor Class increases by 2 against ranged weapon attacks.
Feature/&BarbarianSubclassFrozenFuryNumbTitle	Numb
Feature/&BarbarianSubclassFrozenFuryNumbDescription	Your mind shuts out all pain and fear, filling you with a cold resolve to fight on. You cannot be frightened or poisoned while raging. If you are frightened or poisoned when you enter your rage, any such effects are removed.
Subclass/&BarbarianSubclassPrimalPathOfWarShamanTitle	War Shaman
Subclass/&BarbarianSubclassPrimalPathOfWarShamanDescription	The Path of the War Shaman is an ancient one, said to have first been practiced by long-forgotten warrior-druids.\nBarbarians who follow this primal path have spellcasting ability to augment their considerable combat prowess. Like druids, war shamans may be shunned in some societies or by certain worshipers of the gods, who consider all titan worship anathema.
Feature/&BarbarianSubclassWarShamanClassSpellcastingTitle	War Shaman Spellcasting
Feature/&BarbarianSubclassWarShamanClassSpellcastingDescription	When you choose this path at 3rd level, you gain the ability to cast a limited selection of druid spells and cantrips. While you cannot cast spells while raging, you can maintain concentration on druid spells while doing so.\nWisdom is your spellcasting ability for your druid spells. You use Wisdom whenever a spell refers to your spellcasting ability. In addition, you use your Wisdom modifier when setting the saving throw DC for a druid spell you cast, or when you make an attack roll with one.
Feature/&BarbarianSubclassWarShamanClassShareRageTitle	Share Rage
Feature/&BarbarianSubclassWarShamanClassShareRageDescription	As part of the same bonus action you use to enter a rage, you can expend a spell slot of 1st level or higher. If you do so, choose a willing creature you can see within 30 feet of you. Provided your target can see or hear you, and it isn't wearing heavy armor, it also rages. It gains the effects of the Rage feature, including your Rage Damage bonus. 
Feature/&BarbarianSubclassWarShamanClassRagecasterTitle	Ragecaster
Feature/&BarbarianSubclassWarShamanClassRagecasterDescription	You can cast druid spells while raging. The range of your Share Rage feature increases to 60 feet.
Subclass/&BarbarianSubclassPrimalPathOfBerserkerTitle	Berserker
Subclass/&BarbarianSubclassPrimalPathOfBerserkerDescription	For some barbarians, rage is a means to an end - that end being violence. The Path of the Berserker is a path of untrammeled fury, slick with blood. As you enter the berserker's rage, you thrill in the chaos of battle, heedless of your own health or well-being.
Feature/&BarbarianSubclassBerserkerFrenzyTitle	Frenzy
Feature/&BarbarianSubclassBerserkerFrenzyDescription	You can go into a frenzy when you rage. If you do so, for the duration of your rage you can make a single melee weapon attack weapon attack as a bonus action. When your rage ends, you become exhausted until you take a short rest.
Rules/&BarbarianSubclassBerserkerFrenzyCondition	Frenzied
Feature/&BarbarianSubclassBerserkerFrenzyExhaustedTitle	Exhausted
Feature/&BarbarianSubclassBerserkerFrenzyExhaustedDescripton	You receive a disvantage on all ability checks.
Feature/&BarbarianSubclassMindlessRageTitle	Mindless Rage
Feature/&BarbarianSubclassMindlessRageDescription	You can't be charmed or frightened while raging. If you are charmed or frightened when you enter your rage, the effect is suspended for the duration of the rage.
Feature/&BarbarianSubclassBerserkerIntimidatingPresenceTitle	Intimidating Presence
Feature/&BarbarianSubclassBerserkerIntimidatingPresenceDescription	You can use your action to frighten someone with your menacing presence. When you do so, choose one creature that you can see within 30 feet of you. If the creature can see or hear you, it must succeed on a Wisdom saving throw (DC equal to 8 + your proficiency bonus + your Charisma modifier) or be frightened of you until the end of your next turn.\nIf the creature succeeds on its saving throw, you can't use this feature on that creature again for 24 hours.
