Subclass/&BarbarianSubclassPrimalPathTitle	Chemin primordial
Feature/&BarbarianSubclassFrozenFuryNumbDescription	En atteignant le niveau 10, votre esprit exclut toute douleur et peur, vous remplissant d'une froide résolution de continuer à vous battre. Vous ne pouvez pas être effrayé ou empoisonné lorsque vous êtes enragé. Si vous êtes effrayé ou empoisonné lorsque vous entrez dans votre rage, ces effets sont supprimés.
Subclass/&BarbarianSubclassPrimalPathOfWarShamanTitle	Chaman de guerre
Subclass/&BarbarianSubclassPrimalPathOfWarShamanDescription	La Voie du Chaman de Guerre est une voie ancienne, dont on dit qu'elle a d'abord été pratiquée par des druides-guerriers oubliés depuis longtemps.\nLes barbares qui suivent cette voie primaire ont la capacité de lancer des sorts pour augmenter leurs prouesses au combat considérables. Comme les druides, les chamanes de guerre peuvent être évités dans certaines sociétés ou par certains adorateurs des dieux, qui considèrent tout culte des titans comme un anathème.
Feature/&BarbarianSubclassWarShamanClassSpellcastingTitle	Lancer de sorts de chaman de guerre
Feature/&BarbarianSubclassWarShamanClassSpellcastingDescription	Lorsque vous choisissez cette voie au niveau 3, vous obtenez la possibilité de lancer une sélection limitée de sorts de druide et de sorts mineurs. Bien que vous ne puissiez pas lancer de sorts en rage, vous pouvez rester concentré sur les sorts de druide tout en le faisant.\nLa sagesse est votre capacité à lancer des sorts pour vos sorts de druide. Vous utilisez la Sagesse chaque fois qu'un sort fait référence à votre capacité d'incantation. De plus, vous utilisez votre modificateur de Sagesse lorsque vous définissez le DD du jet de sauvegarde pour un sort de druide que vous lancez, ou lorsque vous effectuez un jet d'attaque avec un.
Feature/&BarbarianSubclassWarShamanClassShareRageTitle	Partager la rage
Feature/&BarbarianSubclassWarShamanClassShareRageDescription	À partir du niveau 6, dans le cadre de la même action bonus que vous utilisez pour entrer en rage, vous pouvez dépenser un emplacement de sort de niveau 1 ou supérieur. Si vous le faites, choisissez une créature consentante que vous pouvez voir à 9 mètres ou moins de vous. À condition que votre cible puisse vous voir ou vous entendre, et qu'elle ne porte pas d'armure lourde, elle fait également rage. Il gagne les effets de la fonction Rage, y compris votre bonus de Dégâts de Rage.
Feature/&BarbarianSubclassWarShamanClassRagecasterTitle	Ragecaster
Feature/&BarbarianSubclassWarShamanClassRagecasterDescription	Au niveau 10, vous pouvez lancer des sorts de druide en rage. La portée de votre fonction Share Rage passe à 60 pieds.
Subclass/&BarbarianSubclassPrimalPathOfBerserkerTitle	Berserker
Subclass/&BarbarianSubclassPrimalPathOfBerserkerDescription	Pour certains barbares, la rage est un moyen d'atteindre une fin - cette fin étant la violence. Le Sentier du Berserker est un sentier de fureur sans entrave, ruisselant de sang. Alors que vous entrez dans la rage du berserker, vous vibrez dans le chaos de la bataille, sans vous soucier de votre propre santé ou de votre bien-être.
Feature/&BarbarianSubclassBerserkerFrenzyTitle	Frénésie
Feature/&BarbarianSubclassBerserkerFrenzyDescription	À partir du moment où vous choisissez ce chemin au niveau 3, vous pouvez entrer dans une frénésie lorsque vous ragez. Si vous le faites, pendant la durée de votre rage, vous pouvez effectuer une seule attaque au corps à corps avec une arme d'attaque en tant qu'action bonus. Lorsque votre rage se termine, vous vous épuisez jusqu'à ce que vous vous reposiez un peu.
Rules/&BarbarianSubclassBerserkerFrenzyCondition	Frénétique
Feature/&BarbarianSubclassBerserkerFrenzyExhaustedTitle	Épuisé
Feature/&BarbarianSubclassBerserkerFrenzyExhaustedDescripton	Vous recevez un désavantage sur tous les tests de caractéristique.
Feature/&BarbarianSubclassMindlessRageTitle	Rage sans esprit
Feature/&BarbarianSubclassMindlessRageDescription	À partir du niveau 6, vous ne pouvez pas être charmé ou effrayé lorsque vous êtes enragé. Si vous êtes charmé ou effrayé lorsque vous entrez dans votre rage, l'effet est suspendu pendant la durée de la rage.
Feature/&BarbarianSubclassBerserkerIntimidatingPresenceTitle	Présence intimidante
Feature/&BarbarianSubclassBerserkerIntimidatingPresenceDescription	À partir du niveau 10, vous pouvez utiliser votre action pour effrayer quelqu'un avec votre présence menaçante. Lorsque vous le faites, choisissez une créature que vous pouvez voir à 9 mètres ou moins de vous. Si la créature peut vous voir ou vous entendre, elle doit réussir un jet de sauvegarde de Sagesse (DD égal à 8 + votre bonus de maîtrise + votre modificateur de Charisme) ou avoir peur de vous jusqu'à la fin de votre prochain tour.\nSi la créature réussit son jet de sauvegarde, vous ne pouvez plus utiliser cette capacité sur cette créature pendant 24 heures.
