Subclass/&BarbarianSubclassPrimalPathTitle	Urpfad
Feature/&BarbarianSubclassFrozenFuryFrigidBodyDescription	Ab der 6. Stufe fegen eisige Winde den Raum um dich herum, wenn du in Wut gerätst, und stößt Raketen weg, die auf dich zielen. Deine Rüstungsklasse erhöht sich um 2 gegen Angriffe mit Fernkampfwaffen.
Feature/&BarbarianSubclassFrozenFuryNumbTitle	Gefühllos
Feature/&BarbarianSubclassFrozenFuryNumbDescription	Wenn Sie die 10. Stufe erreichen, schließt Ihr Geist alle Schmerzen und Ängste aus und erfüllt Sie mit einer kalten Entschlossenheit, weiterzukämpfen. Du kannst nicht erschreckt oder vergiftet werden, während du wütest. Wenn du Angst hast oder vergiftet bist, wenn du in deine Wut gerätst, werden alle derartigen Effekte entfernt.
Subclass/&BarbarianSubclassPrimalPathOfWarShamanTitle	Kriegsschamane
Subclass/&BarbarianSubclassPrimalPathOfWarShamanDescription	Der Pfad des Kriegsschamanen ist ein uralter, der angeblich zuerst von längst vergessenen Krieger-Druiden praktiziert wurde.\nBarbaren, die diesem Urpfad folgen, verfügen über die Fähigkeit, ihre Fähigkeiten im Kampf zu verbessern. Wie Druiden können Kriegsschamanen in manchen Gesellschaften oder von bestimmten Götteranbetern gemieden werden, die jede Titanenverehrung als ein Gräuel betrachten.
Feature/&BarbarianSubclassWarShamanClassSpellcastingTitle	Zaubersprüche des Kriegsschamanen
Feature/&BarbarianSubclassWarShamanClassSpellcastingDescription	Wenn du diesen Pfad auf der 3. Stufe wählst, erhältst du die Fähigkeit, eine begrenzte Auswahl an Druidenzaubern und Cantrips zu wirken. Während du während des Tobens keine Zauber wirken kannst, kannst du dich dabei auf Druidenzauber konzentrieren.\nWeisheit ist deine Zauberfähigkeit für deine Druidenzauber. Du verwendest Weisheit immer dann, wenn sich ein Zauber auf deine Zauberfähigkeit bezieht. Außerdem verwendest du deinen Weisheitsmodifikator, wenn du den Rettungswurf-SG für einen von dir gewirkten Druidenzauber festlegst oder wenn du einen Angriffswurf mit einem machst.
Feature/&BarbarianSubclassWarShamanClassShareRageTitle	Wut teilen
Feature/&BarbarianSubclassWarShamanClassShareRageDescription	Ab der 6. Stufe können Sie als Teil derselben Bonusaktion, die Sie verwenden, um in Wut zu verfallen, einen Zauberplatz der 1. Wenn Sie dies tun, wählen Sie eine willige Kreatur, die Sie innerhalb von 9 m von Ihnen sehen können. Vorausgesetzt, Ihr Ziel kann Sie sehen oder hören und es trägt keine schwere Rüstung, es wütet auch. Es erhält die Effekte der Wutfunktion, einschließlich Ihres Wutschadensbonus.
Feature/&BarbarianSubclassWarShamanClassRagecasterTitle	Wutauslöser
Feature/&BarbarianSubclassWarShamanClassRagecasterDescription	Ab der 10. Stufe kannst du Druidenzauber wirken, während du wütest. Die Reichweite Ihrer Share Rage-Funktion erhöht sich auf 60 Fuß.
Subclass/&BarbarianSubclassPrimalPathOfBerserkerTitle	Berserker
Subclass/&BarbarianSubclassPrimalPathOfBerserkerDescription	Für manche Barbaren ist Wut ein Mittel zum Zweck – dieser Zweck ist Gewalt. Der Pfad des Berserkers ist ein Pfad ungezügelter Wut, blutdurchtränkt. Wenn Sie in die Wut des Berserkers geraten, begeistern Sie sich im Chaos des Kampfes, ohne Rücksicht auf Ihre eigene Gesundheit oder Ihr Wohlbefinden.
Feature/&BarbarianSubclassBerserkerFrenzyTitle	Raserei
Feature/&BarbarianSubclassBerserkerFrenzyDescription	Wenn Sie diesen Weg auf der 3. Ebene wählen, können Sie in Raserei geraten, wenn Sie wüten. Wenn Sie dies tun, können Sie für die Dauer Ihrer Wut einen einzelnen Nahkampfwaffenangriff als Bonusaktion ausführen. Wenn Ihre Wut endet, werden Sie erschöpft, bis Sie eine kurze Pause einlegen.
Rules/&BarbarianSubclassBerserkerFrenzyCondition	Rasant
Feature/&BarbarianSubclassBerserkerFrenzyExhaustedTitle	Erschöpft
Feature/&BarbarianSubclassBerserkerFrenzyExhaustedDescripton	Sie erhalten einen Nachteil bei allen Fähigkeitschecks.
Feature/&BarbarianSubclassMindlessRageTitle	Gedankenlose Wut
Feature/&BarbarianSubclassMindlessRageDescription	Ab der 6. Stufe kannst du beim Toben nicht verzaubert oder verängstigt werden. Wenn Sie verzaubert oder verängstigt sind, wenn Sie Ihre Wut betreten, wird der Effekt für die Dauer der Wut ausgesetzt.
Feature/&BarbarianSubclassBerserkerIntimidatingPresenceTitle	Einschüchternde Präsenz
Feature/&BarbarianSubclassBerserkerIntimidatingPresenceDescription	Ab Stufe 10 kannst du deine Aktion nutzen, um jemanden mit deiner bedrohlichen Präsenz zu erschrecken. Wenn Sie dies tun, wählen Sie eine Kreatur aus, die Sie innerhalb von 9 m von Ihnen sehen können. Wenn die Kreatur dich sehen oder hören kann, muss ihr ein Weisheitswurf gelingen (SG gleich 8 + dein Fähigkeitsbonus + dein Charisma-Modifikator) oder bis zum Ende deines nächsten Zuges Angst vor dir haben.\nWenn der Rettungswurf der Kreatur gelingt, kannst du diese Funktion 24 Stunden lang nicht mehr auf diese Kreatur anwenden.
